DateStr,Year,Month,Month name,Mode,Trips,Type
2018-01-01,2018,1,January,Metropolitan train,16809932.0,Actual
2018-02-01,2018,2,February,Metropolitan train,19554477.0,Actual
2018-03-01,2018,3,March,Metropolitan train,22659010.0,Actual
2018-04-01,2018,4,April,Metropolitan train,20312040.0,Actual
2018-05-01,2018,5,May,Metropolitan train,22768447.0,Actual
2018-06-01,2018,6,June,Metropolitan train,19284755.0,Actual
2018-07-01,2018,7,July,Metropolitan train,20732099.0,Actual
2018-08-01,2018,8,August,Metropolitan train,22566766.0,Actual
2018-09-01,2018,9,September,Metropolitan train,20056487.0,Actual
2018-10-01,2018,10,October,Metropolitan train,22299761.0,Actual
2018-11-01,2018,11,November,Metropolitan train,20806123.0,Actual
2018-12-01,2018,12,December,Metropolitan train,16665365.0,Actual
2019-01-01,2019,1,January,Metropolitan train,17074623.0,Actual
2019-02-01,2019,2,February,Metropolitan train,20011823.0,Actual
2019-03-01,2019,3,March,Metropolitan train,22250796.0,Actual
2019-04-01,2019,4,April,Metropolitan train,18579825.0,Actual
2019-05-01,2019,5,May,Metropolitan train,23045436.0,Actual
2019-06-01,2019,6,June,Metropolitan train,19099513.0,Actual
2019-07-01,2019,7,July,Metropolitan train,20771347.0,Actual
2019-08-01,2019,8,August,Metropolitan train,22618021.0,Actual
2019-09-01,2019,9,September,Metropolitan train,20593343.0,Actual
2019-10-01,2019,10,October,Metropolitan train,22429337.0,Actual
2019-11-01,2019,11,November,Metropolitan train,20413342.0,Actual
2019-12-01,2019,12,December,Metropolitan train,17890229.0,Actual
2020-01-01,2020,1,January,Metropolitan train,17015987.0,Actual
2020-02-01,2020,2,February,Metropolitan train,19811543.0,Actual
2020-03-01,2020,3,March,Metropolitan train,13746958.0,Actual
2020-04-01,2020,4,April,Metropolitan train,2165747.0,Actual
2020-05-01,2020,5,May,Metropolitan train,3670296.0,Actual
2020-06-01,2020,6,June,Metropolitan train,6432121.0,Actual
2020-07-01,2020,7,July,Metropolitan train,3963903.0,Actual
2020-08-01,2020,8,August,Metropolitan train,1887499.0,Actual
2020-09-01,2020,9,September,Metropolitan train,1931257.0,Actual
2020-10-01,2020,10,October,Metropolitan train,3388960.0,Actual
2020-11-01,2020,11,November,Metropolitan train,6439402.0,Actual
2020-12-01,2020,12,December,Metropolitan train,7868276.0,Actual
2021-01-01,2021,1,January,Metropolitan train,7231312.0,Actual
2021-02-01,2021,2,February,Metropolitan train,7822660.0,Actual
2021-03-01,2021,3,March,Metropolitan train,11852314.0,Actual
2021-04-01,2021,4,April,Metropolitan train,11632636.0,Actual
2021-05-01,2021,5,May,Metropolitan train,11375712.0,Actual
2021-06-01,2021,6,June,Metropolitan train,6321515.0,Actual
2021-07-01,2021,7,July,Metropolitan train,7512489.0,Actual
2021-08-01,2021,8,August,Metropolitan train,3954587.0,Actual
2021-09-01,2021,9,September,Metropolitan train,2769485.0,Actual
2021-10-01,2021,10,October,Metropolitan train,3995863.0,Actual
2021-11-01,2021,11,November,Metropolitan train,8341146.0,Actual
2021-12-01,2021,12,December,Metropolitan train,9127862.0,Actual
2022-01-01,2022,1,January,Metropolitan train,5778986.0,Actual
2022-02-01,2022,2,February,Metropolitan train,8382008.0,Actual
2022-03-01,2022,3,March,Metropolitan train,13045722.0,Actual
2022-04-01,2022,4,April,Metropolitan train,11890697.0,Actual
2022-05-01,2022,5,May,Metropolitan train,12833409.0,Actual
2022-06-01,2022,6,June,Metropolitan train,11842624.0,Actual
2022-07-01,2022,7,July,Metropolitan train,12019600.0,Actual
2022-08-01,2022,8,August,Metropolitan train,13095346.0,Actual
2022-09-01,2022,9,September,Metropolitan train,12936260.0,Actual
2022-10-01,2022,10,October,Metropolitan train,12909284.0,Actual
2022-11-01,2022,11,November,Metropolitan train,13072188.0,Actual
2022-12-01,2022,12,December,Metropolitan train,11867965.0,Actual
2023-01-01,2023,1,January,Metropolitan train,10109375.0,Actual
2023-02-01,2023,2,February,Metropolitan train,12831622.0,Actual
2023-03-01,2023,3,March,Metropolitan train,16527142.0,Actual
2023-04-01,2023,4,April,Metropolitan train,13288137.0,Actual
2023-05-01,2023,5,May,Metropolitan train,15312507.0,Actual
2023-06-01,2023,6,June,Metropolitan train,13115087.0,Actual
2023-07-01,2023,7,July,Metropolitan train,14020167.0,Actual
2023-08-01,2023,8,August,Metropolitan train,16437412.0,Actual
2023-09-01,2023,9,September,Metropolitan train,14847177.0,Actual
2023-10-01,2023,10,October,Metropolitan train,15199277.0,Actual
2023-11-01,2023,11,November,Metropolitan train,14653512.0,Actual
2023-12-01,2023,12,December,Metropolitan train,13516661.0,Actual
2024-01-01,2024,1,January,Metropolitan train,13254775.0,Actual
2024-02-01,2024,2,February,Metropolitan train,15828610.0,Actual
2024-03-01,2024,3,March,Metropolitan train,17171572.0,Actual
2024-04-01,2024,4,April,Metropolitan train,15943432.0,Actual
2024-05-01,2024,5,May,Metropolitan train,17201139.0,Actual
2024-06-01,2024,6,June,Metropolitan train,14454677.0,Actual
2024-07-01,2024,7,July,Metropolitan train,15901814.0,Actual
2024-08-01,2024,8,August,Metropolitan train,17273609.0,Actual
2024-09-01,2024,9,September,Metropolitan train,15323401.0,Actual
2024-10-01,2024,10,October,Metropolitan train,16934209.0,Actual
2024-11-01,2024,11,November,Metropolitan train,14968410.0,Actual
2024-12-01,2024,12,December,Metropolitan train,13603360.0,Actual
2025-01-01,2025,1,January,Metropolitan train,13379440.0,Actual
2025-02-01,2025,2,February,Metropolitan train,14514256.0,Actual
2025-03-01,2025,3,March,Metropolitan train,17994138.0,Actual
2025-04-01,2025,4,April,Metropolitan train,15480989.0,Actual
2025-05-01,2025,5,May,Metropolitan train,17588793.0,Actual
2025-06-01,2025,6,June,Metropolitan train,14442545.0,Actual
2025-07-01,2025,7,July,Metropolitan train,15451503.0,Actual
2025-08-01,2025,8,August,Metropolitan train,16189046.0,Actual
2025-09-01,2025,9,September,Metropolitan train,14998479.0,Actual
2025-10-01,2025,10,October,Metropolitan train,15977164.0,Actual
2025-11-01,2025,11,November,Metropolitan train,14297664.0,Actual
2025-12-01,2025,12,December,Metropolitan train,14894850.0,Actual
2018-01-01,2018,1,January,Metropolitan tram,15231368.0,Actual
